feature,period,train_missing_rate,validation_missing_rate,train_mean,validation_mean,psi,drift_warning,test_missing_rate,test_mean
imoex_realized_vol_20d,validation,0.0,0.0,0.011951218963575082,0.023995825801165896,13.305253510698105,True,,
average_market_correlation_60d,validation,0.0,0.0,0.23617760047250316,0.6135470321923674,13.224172119187081,True,,
cbr_key_rate,validation,0.0,0.0,8.301981652898883,10.297785337406143,13.162144740551941,True,,
rate_fx_pressure,validation,0.0,0.0,36.75566912634479,45.598823820771116,13.162144740551941,True,,
macro_pressure,validation,0.0,0.0,0.589817709948695,1.0275091151349136,13.158534821630248,True,,
ofz_slope_10y_2y,validation,0.0,0.0,0.6288236256825148,0.34111925843236596,9.194971907416013,True,,
usd_rub,validation,0.0,0.0,82.59856369013063,82.77787344453775,7.357228750166373,True,,
rolling_vol_20d,validation,0.0,0.0,0.020580652274704295,0.02624531141338961,3.764041011947389,True,,
downside_vol_60d,validation,0.0,0.0,0.01754548664896348,0.022328090886494265,2.6546570510772898,True,,
spread_proxy,validation,0.0,0.0,0.0008343382719933033,0.0010400291684970358,0.25025708398302443,True,,
beta_vol_interaction,validation,0.0,0.0,0.01461714743445536,0.017611288179413674,0.20874680970292386,True,,
amihud_20d,validation,0.0,0.0,7.346180769018594e-10,1.2188390118898902e-09,0.17440336847224322,False,,
free_cash_flow_sector_z,validation,0.0,0.0,3.1929897014285505e-17,2.137696507042227e-17,0.16545317376728977,False,,
liquidity_vol_interaction,validation,0.0,0.0,-0.02813200366921606,-0.027364862562613636,0.16512628044647393,False,,
rolling_vol_20d_sector_z,validation,0.0,0.0,8.612284148807282e-17,-8.964533739209338e-18,0.15807726742537584,False,,
free_cash_flow,validation,0.05804749340369393,0.10559006211180125,0.07367151361924716,0.08591722217410586,0.11605559130676531,False,,
log_market_cap,validation,0.0,0.0,11.452506053153549,11.477426989163614,0.11123071812636115,False,,
size_liquidity_interaction,validation,0.0,0.0,219.43090468027617,220.1563262039833,0.10432081742754339,False,,
interest_coverage_sector_z,validation,0.0,0.0,-1.288913273971158e-17,3.4478975920035915e-17,0.10421585641780742,False,,
